condition,condition2,policy1,policy2,policy3,policy4,policy5,policy6,rehab1,rehab2,rehab3,rehab4,age,gender,ethnicity,education,politicalid,attentive
0,4,1,1,1,2,2,1,5,1,5,4,31,2,1,3,2,1
0,4,4,4,4,4,4,4,3,3,4,3,58,2,1,5,5,1
0,4,1,2,4,2,4,4,5,1,5,1,37,2,1,5,3,1
0,4,3,5,5,5,4,4,3,2,3,3,63,2,1,2,4,1
0,4,1,2,4,1,4,1,5,1,5,1,26,1,1,5,5,1
0,4,1,3,3,4,2,3,4,2,5,3,43,2,1,2,3,1
0,4,3,2,2,4,4,4,5,1,5,4,23,2,1,2,2,1
0,4,4,2,4,3,4,4,4,1,5,2,20,2,3,5,4,1
0,4,2,1,1,3,4,4,4,1,5,2,51,2,1,2,2,1
0,4,3,4,3,1,5,2,4,1,4,3,38,1,3,4,3,1
0,4,2,1,2,2,4,1,4,1,5,3,51,1,1,1,1,1
0,4,4,5,5,5,5,5,1,3,3,4,40,1,1,4,,1
0,4,4,4,5,5,4,5,4,2,4,4,20,2,1,4,3,1
0,4,3,3,4,4,5,5,5,1,5,3,58,1,4,4,1,1
0,4,2,1,2,3,4,2,4,1,5,2,37,2,1,4,3,1
0,4,4,3,4,4,4,5,4,3,4,3,48,2,1,4,4,1
0,4,3,4,3,4,4,4,4,2,4,3,41,1,1,3,3,1
0,4,1,4,5,4,4,4,4,2,4,4,33,1,1,4,3,1
0,4,1,2,2,3,4,1,5,1,5,2,31,2,1,2,2,1
0,4,4,4,4,5,5,5,5,2,5,2,31,2,2,5,4,1
0,4,5,5,5,4,5,5,5,1,5,3,24,1,1,3,2,1
0,4,1,1,1,3,1,4,5,1,5,1,22,1,2,4,1,1
0,4,3,4,5,5,5,4,4,1,4,4,31,1,6,2,4,1
0,4,1,5,5,2,4,4,4,2,4,3,30,2,4,4,3,1
0,4,4,4,2,5,5,4,5,5,4,4,21,2,1,4,3,0
0,4,4,4,2,4,5,4,2,4,2,4,33,1,6,3,3,1
0,4,1,4,4,4,4,4,5,1,5,4,29,2,2,4,3,1
0,4,4,4,4,4,4,4,4,4,4,4,28,2,3,4,4,0
0,4,2,4,3,3,5,3,4,1,5,4,36,2,5,4,5,1
0,4,3,5,4,4,5,4,3,4,4,4,23,2,3,5,5,1
0,4,5,5,5,5,5,5,5,1,5,4,32,2,3,4,5,1
0,4,3,4,4,5,5,3,4,1,4,3,39,2,1,7,4,1
0,4,4,2,2,3,4,4,5,1,4,1,19,1,2,5,4,1
0,4,3,2,3,4,4,4,4,1,5,3,21,2,1,4,2,1
0,4,2,3,4,4,5,4,4,1,5,4,40,2,1,4,3,1
0,4,1,2,1,2,3,2,5,1,5,1,33,1,1,2,2,1
0,4,5,4,5,5,5,3,4,2,5,3,48,2,1,6,4,1
0,4,1,3,3,2,3,3,3,3,3,3,23,1,3,5,4,1
0,4,3,4,4,4,5,4,3,1,5,3,42,2,1,3,5,1
0,4,4,4,4,4,4,4,4,2,4,3,50,2,1,4,5,1
0,4,2,4,4,5,5,5,5,1,5,2,36,1,1,2,3,1
0,4,3,3,4,5,4,4,4,2,4,3,23,1,3,4,4,1
0,4,2,2,4,4,5,4,5,2,5,4,57,1,1,5,5,1
0,4,4,5,5,5,4,4,4,2,4,4,27,2,1,7,,1
0,4,2,1,2,5,4,4,5,1,5,2,34,1,6,3,2,1
0,4,3,3,3,3,3,3,3,2,3,3,25,2,3,4,5,1
0,4,1,2,3,2,2,3,4,1,5,1,25,1,1,4,3,1
0,4,1,1,3,5,1,2,5,1,5,3,54,2,3,4,2,1
0,4,5,5,5,5,5,5,4,2,4,4,28,2,1,4,6,1
0,4,1,1,2,3,4,2,5,1,5,3,54,2,1,2,1,1
0,4,4,4,4,3,4,5,4,1,4,4,23,1,1,4,5,1
0,4,3,4,5,5,5,2,5,5,5,3,58,2,1,1,4,0
0,4,2,5,5,5,5,5,4,1,5,5,40,2,3,2,3,1
0,4,1,2,4,4,4,2,5,1,5,2,25,2,1,4,2,1
0,4,4,5,5,5,5,5,4,4,3,5,49,1,3,2,4,0
0,4,4,5,5,4,4,2,4,2,4,4,22,2,1,3,3,1
0,4,4,5,4,5,5,4,3,3,3,4,38,1,1,4,5,1
0,4,3,4,4,5,4,5,4,2,4,4,39,2,1,5,3,1
0,4,2,4,3,1,5,2,5,1,5,4,20,2,1,5,3,1
0,4,1,3,2,2,1,4,5,1,5,3,30,1,1,1,2,1
0,4,3,4,5,5,5,3,3,3,4,4,37,1,1,4,,1
0,4,2,3,4,4,5,4,5,1,5,2,60,1,1,2,3,1
0,4,4,4,4,5,5,5,4,2,4,4,53,1,1,4,6,1
0,4,5,5,4,2,4,4,5,2,3,4,32,2,3,3,3,1
0,4,4,4,5,5,5,4,4,1,5,5,56,4,1,5,6,1
0,4,4,4,1,1,5,4,5,1,5,2,21,1,2,4,2,1
0,4,4,4,4,4,2,4,5,1,5,4,21,2,1,4,2,1
0,4,4,4,4,5,5,5,4,1,5,4,56,2,1,2,4,1
0,4,4,4,3,5,4,3,3,2,4,4,34,1,1,5,4,1
0,4,4,4,4,3,4,4,5,1,5,4,22,2,1,4,2,1
0,4,2,4,4,5,4,3,4,2,4,4,26,2,1,5,2,1
0,4,2,2,4,5,2,4,5,1,5,4,39,2,5,4,5,1
0,4,3,3,3,3,5,3,4,1,5,3,53,1,1,6,3,1
0,4,5,5,4,3,5,4,3,2,5,4,19,1,1,4,5,1
0,4,1,1,1,2,5,3,5,1,5,3,58,1,1,3,1,1
0,4,3,3,3,3,3,4,4,2,4,3,34,2,3,4,3,1
0,4,4,5,5,4,5,5,4,3,4,4,25,2,1,2,3,1
0,4,4,4,5,2,4,5,5,1,5,4,24,1,2,3,5,1
